;NO.;PH;DO;COD;NH3-N;TP;CODMn;F;Oil;Cr6+;LAS;Cu;Zn;Cd;As;Hg;CN;VP;S;Se
2019.07;M1;7.47;6.9;32;1.48;0.36;7.5;0.75;0.24;0.021;0.29;0.07;0.05;0.0003;0.0032;0.00026;0.018;0.0012;0.012;0.0006
2019.07;M2;7.58;8.5;16;1.12;0.24;4.6;0.76;0.15;0.013;0.07;0.06;0.03;0.0003;0.0034;0.00025;0.016;0.0006;0.013;0.0006
2019.07;T1;7.49;8.2;26;1.24;0.32;7.1;0.81;0.19;0.021;0.15;0.08;0.05;0.0003;0.0036;0.00026;0.014;0.0012;0.014;0.0008
2019.07;T2;7.52;8.3;15;0.88;0.15;5.9;0.39;0.09;0.023;0.12;0.04;0.04;0.0002;0.0014;0.00012;0.008;0.0007;0.008;0.0004
2019.07;T3;7.79;8.2;14;0.82;0.14;6.1;0.38;0.08;0.019;0.14;0.03;0.06;0.0002;0.0016;0.0003;0.006;0.0005;0.009;0.0003
2019.07;M3;7.65;8.4;23;1.32;0.21;4.8;0.62;0.07;0.021;0.13;0.05;0.06;0.0003;0.0011;0.00025;0.007;0.0009;0.005;0.0004
2019.07;M4;7.31;8.2;28;0.77;0.23;7.1;0.76;0.07;0.022;0.15;0.05;0.04;0.0002;0.0028;0.00022;0.009;0.0012;0.011;0.0004
2019.07;T4;7.32;8.2;19;0.96;0.21;4.9;0.65;0.08;0.015;0.13;0.04;0.05;0.0003;0.0022;0.00015;0.011;0.0006;0.006;0.0005
2019.07;T5;7.32;7.9;18;0.82;0.11;3.1;0.62;0.06;0.015;0.14;0.05;0.03;0.0002;0.002;0.00016;0.01;0.0005;0.005;0.0004
2019.07;M5;7.28;7.8;36;0.92;0.33;8.1;0.75;0.07;0.026;0.13;0.06;0.04;0.0005;0.0028;0.00018;0.018;0.0008;0.006;0.0008
2019.07;M6;7.32;7.6;38;0.86;0.19;7.8;0.73;0.08;0.022;0.11;0.05;0.05;0.0005;0.0025;0.00016;0.017;0.001;0.005;0.0006
2019.07;T6;7.32;8.2;32;1.21;0.31;7.6;0.72;0.06;0.023;0.2;0.06;0.05;0.0004;0.0032;0.00018;0.008;0.0009;0.008;0.0008
2019.07;M7;7.42;8.3;29;0.75;0.28;7.5;0.71;0.07;0.023;0.16;0.05;0.04;0.0004;0.0028;0.00016;0.015;0.0009;0.006;0.0007
2019.07;M8;7.42;8.8;23;0.68;0.26;7.2;0.68;0.06;0.022;0.17;0.05;0.03;0.0003;0.0026;0.00021;0.011;0.0008;0.005;0.0007
2019.08;M1;7.46;6.8;33;1.47;0.38;7.4;0.74;0.23;0.02;0.3;0.07;0.04;0.0003;0.0032;0.00026;0.018;0.0012;0.012;0.0006
2019.08;M2;7.88;8.7;18;1.02;0.21;4.8;0.78;0.14;0.012;0.28;0.06;0.03;0.0003;0.0034;0.00025;0.016;0.0006;0.013;0.0006
2019.08;T1;7.46;8.9;28;1.28;0.36;7.2;0.82;0.18;0.024;0.14;0.08;0.05;0.0003;0.0036;0.00026;0.014;0.0012;0.014;0.0008
2019.08;T2;7.57;8.2;16;0.86;0.14;5.8;0.38;0.08;0.022;0.11;0.04;0.03;0.0002;0.0014;0.00012;0.008;0.0007;0.008;0.0004
2019.08;T3;7.77;8.7;15;0.84;0.13;6;0.41;0.09;0.018;0.13;0.03;0.05;0.0002;0.0016;0.0003;0.006;0.0005;0.009;0.0003
2019.08;M3;7.67;8.6;24;1.29;0.2;4.6;0.61;0.06;0.019;0.12;0.05;0.06;0.0003;0.0011;0.00026;0.007;0.0009;0.005;0.0004
2019.08;M4;7.32;8.3;28;0.81;0.22;7;0.77;0.06;0.021;0.14;0.05;0.06;0.0002;0.0028;0.00022;0.009;0.0012;0.01;0.0004
2019.08;T4;7.33;8.8;18;0.97;0.22;4.7;0.66;0.08;0.014;0.13;0.04;0.05;0.0003;0.0022;0.00013;0.011;0.0006;0.006;0.0005
2019.08;T5;7.35;8.8;19;0.84;0.12;3;0.61;0.06;0.014;0.15;0.05;0.03;0.0002;0.002;0.00015;0.01;0.0005;0.005;0.0004
2019.08;M5;7.34;7.5;44;0.97;0.32;8.2;0.76;0.08;0.024;0.14;0.06;0.04;0.0005;0.0028;0.00018;0.018;0.0008;0.006;0.0008
2019.08;M6;7.33;7.9;42;0.85;0.18;8;0.74;0.06;0.021;0.12;0.05;0.05;0.0005;0.0025;0.00016;0.017;0.001;0.005;0.0006
2019.08;T6;7.35;8.6;36;1.24;0.32;7.7;0.76;0.08;0.021;0.22;0.06;0.05;0.0004;0.0032;0.00018;0.008;0.0009;0.008;0.0008
2019.08;M7;7.41;8.7;30;0.74;0.26;7.6;0.71;0.06;0.021;0.16;0.05;0.04;0.0004;0.0028;0.00016;0.015;0.0009;0.006;0.0007
2019.08;M8;7.46;9.1;24;0.66;0.24;7.3;0.66;0.06;0.021;0.18;0.05;0.03;0.0003;0.0026;0.00015;0.011;0.0008;0.005;0.0007
